iter	Passed	Remaining
234	48603	158220
235	48750	157821
236	48886	157386
237	49049	157040
238	49239	156784
239	49422	156503
240	49599	156206
241	49810	156017
242	49988	155725
243	50190	155507
244	50374	155234
245	50537	154899
246	50691	154538
247	50841	154165
248	51014	153862
249	51183	153550
250	51335	153187
251	51483	152817
252	51620	152413
253	51778	152073
254	51962	151810
255	52181	151653
256	52371	151408
257	52572	151196
258	52810	151090
259	53007	150868
260	53196	150621
261	53444	150541
262	53664	150383
263	53862	150161
264	54023	149840
265	54182	149510
266	54354	149220
267	54591	149108
268	54795	148905
269	55010	148733
270	55237	148589
271	55484	148501
272	55732	148416
273	55938	148217
274	56111	147929
275	56279	147632
276	56457	147359
277	56629	147074
278	56804	146796
279	56991	146548
280	57155	146243
281	57314	145928
282	57485	145642
283	57628	145289
284	57798	145002
285	57988	144768
286	58158	144485
287	58401	144380
288	58632	144249
289	58865	144119
290	59194	144223
291	59541	144368
292	59826	144359
293	60044	144188
294	60317	144147
295	60532	143970
296	60762	143825
297	60977	143645
298	61230	143554
299	61430	143338
300	61627	143114
301	61857	142968
302	62096	142841
303	62303	142642
304	62520	142464
305	62779	142382
306	63013	142243
307	63249	142106
308	63464	141921
309	63667	141711
310	63860	141479
311	64052	141243
312	64221	140958
313	64391	140677
314	64582	140441
315	64784	140230
316	64991	140028
317	65176	139781
318	65349	139508
319	65524	139239
320	65723	139021
321	65941	138844
322	66119	138584
323	66290	138309
324	66498	138112
325	66700	137901
326	66903	137694
327	67098	137469
328	67301	137263
329	67548	137143
330	67734	136901
331	67915	136650
332	68110	136425
333	68322	136235
334	68595	136166
335	68830	136021
336	69085	135915
337	69337	135803
338	69549	135611
339	69744	135387
340	69917	135119
341	70106	134882
342	70372	134795
343	70610	134652
344	70816	134449
345	70994	134191
346	71174	133940
347	71384	133744
348	71635	133623
349	71879	133490
350	72116	133342
351	72383	133250
352	72585	133039
353	72732	132727
354	72883	132422
355	73055	132156
356	73224	131886
357	73377	131587
358	73530	131289
359	73672	130973
360	73881	130776
361	74097	130592
362	74295	130375
363	74536	130233
364	74814	130157
365	75081	130059
366	75286	129854
367	75534	129722
368	75760	129552
369	76003	129412
370	76333	129417
371	76515	129171
372	76695	128922
373	76846	128624
374	76986	128311
375	77120	127987
376	77276	127701
377	77449	127443
378	77612	127169
379	77764	126879
380	77947	126639
381	78133	126404
382	78293	126127
383	78433	125819
384	78603	125561
385	78778	125310
386	78953	125061
387	79102	124769
388	79250	124478
389	79430	124236
390	79600	123981
391	79773	123730
392	79929	123453
393	80088	123182
394	80257	122925
395	80423	122666
396	80659	122512
397	80829	122259
398	81004	122013
399	81166	121750
400	81328	121485
401	81512	121255
402	81687	121010
403	81848	120747
404	82008	120482
405	82152	120193
406	82300	119911
407	82448	119630
408	82596	119351
409	82747	119076
410	82891	118791
411	83055	118535
412	83223	118286
413	83422	118081
414	83622	117876
415	83807	117653
416	83979	117409
417	84161	117182
418	84327	116931
419	84501	116692
420	84662	116436
421	84821	116177
422	84977	115914
423	85130	115649
424	85278	115376
425	85442	115126
426	85603	114872
427	85760	114613
428	85909	114345
429	86081	114107
430	86249	113864
431	86436	113648
432	86591	113388
433	86740	113122
434	86906	112879
435	87068	112630
436	87230	112381
437	87383	112121
438	87564	111899
439	87739	111668
440	87899	111419
441	88046	111153
442	88202	110900
443	88350	110636
444	88501	110378
445	88667	110138
446	88832	109898
447	89011	109674
448	89168	109425
449	89322	109171
450	89470	108912
451	89627	108663
452	89787	108418
453	89927	108150
454	90065	107880
455	90209	107618
456	90352	107355
457	90526	107129
458	90678	106878
459	90824	106619
460	90970	106362
461	91123	106113
462	91273	105861
463	91446	105636
464	91598	105387
465	91776	105168
466	91937	104930
467	92089	104682
468	92243	104437
469	92404	104200
470	92568	103967
471	92745	103749
472	92919	103527
473	93084	103295
474	93248	103063
475	93466	102892
476	93617	102645
477	93770	102402
478	93928	102164
479	94087	101928
480	94255	101701
481	94430	101482
482	94585	101243
483	94744	101008
484	94897	100767
485	95065	100542
486	95218	100302
487	95362	100052
488	95507	99804
489	95651	99556
490	95796	99308
491	95935	99055
492	96077	98806
493	96224	98562
494	96373	98320
495	96536	98093
496	96684	97852
497	96839	97617
498	97030	97419
499	97202	97202
500	97381	96992
501	97590	96812
502	97816	96649
503	98071	96515
504	98370	96422
505	98553	96216
506	98729	96002
507	98904	95789
508	99128	95622
509	99329	95433
510	99528	95243
511	99738	95062
512	99950	94884
513	100167	94711
514	100354	94508
515	100548	94313
516	100722	94098
517	100901	93889
518	101102	93699
519	101302	93509
520	101487	93306
521	101682	93111
522	101887	92925
523	102099	92746
524	102276	92535
525	102443	92315
526	102630	92114
527	102829	91923
528	103011	91717
529	103211	91526
530	103408	91334
531	103601	91137
532	103812	90957
533	104008	90764
534	104211	90576
535	104395	90372
536	104575	90164
537	104764	89964
538	104940	89754
539	105129	89554
540	105315	89352
541	105508	89157
542	105695	88955
543	105881	88753
544	106072	88556
545	106260	88355
546	106440	88149
547	106615	87938
548	106854	87779
549	107023	87565
550	107181	87340
551	107343	87119
552	107505	86898
553	107668	86678
554	107835	86463
555	108007	86250
556	108192	86049
557	108373	85844
558	108551	85637
559	108750	85447
560	108948	85255
561	109135	85055
562	109340	84870
563	109527	84670
564	109722	84476
565	109927	84290
566	110112	84089
567	110276	83872
568	110437	83652
569	110620	83450
570	110825	83264
571	111017	83068
572	111202	82868
573	111386	82666
574	111552	82451
575	111770	82275
576	111962	82079
577	112128	81865
578	112291	81648
579	112477	81448
580	112651	81240
581	112811	81022
582	112975	80807
583	113160	80607
584	113351	80412
585	113522	80201
586	113681	79983
587	113880	79793
588	114093	79613
589	114270	79408
590	114438	79196
591	114611	78989
592	114832	78814
593	115050	78637
594	115248	78446
595	115400	78224
596	115580	78021
597	115760	77819
598	115932	77611
599	116098	77398
600	116290	77204
601	116491	77016
602	116680	76819
603	116852	76612
604	117014	76398
605	117215	76209
606	117401	76010
607	117572	75803
608	117731	75587
609	117927	75396
610	118114	75198
611	118306	75004
612	118482	74800
613	118644	74587
614	118823	74385
615	118995	74179
616	119153	73964
617	119322	73756
618	119497	73552
619	119677	73350
620	119838	73137
621	120026	72941
622	120225	72752
623	120426	72564
624	120702	72421
625	120895	72228
626	121069	72023
627	121227	71809
628	121427	71620
629	121613	71423
630	121782	71216
631	121974	71022
632	122142	70815
633	122300	70602
634	122462	70391
635	122668	70206
636	122858	70012
637	123040	69812
638	123237	69622
639	123436	69432
640	123609	69229
641	123774	69020
642	123958	68823
643	124149	68629
644	124317	68422
645	124475	68211
646	124631	67998
647	124820	67803
648	124994	67601
649	125159	67393
650	125313	67180
651	125488	66978
652	125690	66791
653	125889	66602
654	126119	66429
655	126311	66236
656	126483	66033
657	126675	65840
658	126866	65647
659	127034	65441
660	127210	65241
661	127389	65041
662	127575	64845
663	127754	64646
664	127937	64449
665	128136	64260
666	128306	64057
667	128465	63848
668	128654	63654
669	128846	63461
670	129029	63264
671	129219	63071
672	129407	62876
673	129579	62674
674	129743	62469
675	129930	62274
676	130125	62083
677	130303	61884
678	130461	61676
679	130632	61474
680	130801	61271
681	130966	61066
682	131138	60865
683	131323	60669
684	131523	60481
685	131722	60292
686	131911	60099
687	132107	59909
688	132313	59723
689	132492	59525
690	132671	59327
691	132872	59139
692	133072	58951
693	133252	58753
694	133430	58555
695	133612	58359
696	133784	58158
697	133971	57964
698	134151	57767
699	134388	57595
700	134576	57401
701	134749	57201
702	134929	57004
703	135127	56814
704	135316	56621
705	135484	56419
706	135651	56217
707	135825	56018
708	135992	55816
709	136177	55621
710	136345	55420
711	136510	55217
712	136676	55015
713	136850	54816
714	137042	54625
715	137268	54447
716	137454	54253
717	137630	54055
718	137806	53857
719	137987	53661
720	138197	53477
721	138386	53284
722	138580	53093
723	138758	52897
724	138962	52709
725	139151	52517
726	139325	52318
727	139494	52118
728	139671	51921
729	139833	51719
730	140026	51528
731	140199	51329
732	140377	51133
733	140557	50937
734	140738	50742
735	140937	50553
736	141117	50358
737	141291	50160
738	141482	49968
739	141656	49771
740	141828	49572
741	142009	49377
742	142178	49178
743	142364	48985
744	142544	48790
745	142726	48595
746	142911	48402
747	143095	48208
748	143277	48014
749	143456	47818
750	143644	47626
751	143838	47436
752	144050	47251
753	144223	47054
754	144392	46855
755	144588	46666
756	144767	46470
757	144965	46281
758	145166	46093
759	145345	45898
760	145523	45703
761	145811	45542
762	146082	45375
763	146344	45206
764	146607	45036
765	146882	44870
766	147152	44702
767	147392	44524
768	147625	44345
769	147861	44166
770	148102	43988
771	148342	43811
772	148577	43631
773	148899	43477
774	149152	43302
775	149405	43127
776	149659	42952
777	149890	42770
778	150124	42589
779	150392	42418
780	150674	42250
781	150926	42074
782	151176	41896
783	151425	41719
784	151669	41539
785	151909	41359
786	152177	41186
787	152448	41014
788	152706	40837
789	152940	40655
790	153186	40475
791	153448	40299
792	153738	40130
793	154044	39966
794	154301	39788
795	154551	39608
796	154800	39428
797	155071	39253
798	155321	39073
799	155600	38900
800	155858	38721
801	156117	38542
802	156372	38362
803	156638	38185
804	156877	38001
805	157114	37816
806	157386	37640
807	157662	37464
808	157932	37286
809	158195	37107
810	158445	36925
811	158707	36745
812	158983	36568
813	159289	36397
814	159596	36227
815	159870	36049
816	160157	35873
817	160427	35694
818	160725	35520
819	160994	35340
820	161278	35162
821	161552	34983
822	161817	34801
823	162092	34621
824	162380	34444
825	162662	34265
826	162918	34080
827	163182	33897
828	163433	33711
829	163681	33525
830	163940	33340
831	164196	33155
832	164448	32968
833	164708	32783
834	164961	32597
835	165245	32416
836	165524	32234
837	165792	32050
838	166068	31867
839	166313	31678
840	166554	31488
841	166800	31299
842	167058	31112
843	167330	30928
844	167587	30740
845	167842	30552
846	168101	30365
847	168469	30197
848	168715	30007
849	168953	29815
850	169206	29625
851	169445	29434
852	169685	29242
853	169937	29052
854	170194	28863
855	170449	28673
856	170716	28486
857	170962	28294
858	171214	28103
859	171498	27918
860	171765	27729
861	172011	27537
862	172257	27345
863	172503	27153
864	172756	26961
865	173003	26769
866	173264	26579
867	173498	26384
868	173749	26192
869	174023	26003
870	174269	25810
871	174517	25617
872	174758	25423
873	175013	25230
874	175258	25036
875	175520	24845
876	175786	24654
877	176042	24461
878	176310	24270
879	176556	24075
880	176795	23880
881	177037	23685
882	177286	23491
883	177525	23295
884	177760	23098
885	177985	22901
886	178223	22704
887	178460	22508
888	178692	22311
889	178923	22114
890	179175	21919
891	179403	21721
892	179577	21517
893	179772	21315
894	179958	21112
895	180135	20908
896	180302	20703
897	180457	20497
898	180613	20291
899	180773	20085
900	180926	19879
901	181090	19675
902	181316	19476
903	181521	19276
904	181721	19075
905	181894	18872
906	182093	18671
907	182299	18470
908	182536	18273
909	182721	18071
910	182893	17867
911	183106	17668
912	183290	17465
913	183454	17261
914	183613	17057
915	183886	16862
916	184086	16662
917	184255	16458
918	184427	16255
919	184618	16053
920	184809	15852
921	184984	15649
922	185150	15445
923	185340	15244
924	185538	15043
925	185721	14841
926	185887	14638
927	186041	14434
928	186217	14231
929	186404	14030
930	186574	13827
931	186741	13624
932	186919	13422
933	187143	13224
934	187348	13024
935	187535	12822
936	187700	12620
937	187912	12420
938	188122	12220
939	188316	12020
940	188490	11818
941	188665	11616
942	188854	11415
943	189032	11213
944	189195	11011
945	189376	10810
946	189563	10609
947	189750	10408
948	189913	10206
949	190080	10004
950	190274	9803
951	190484	9604
952	190662	9403
953	190825	9201
954	191016	9000
955	191201	8800
956	191365	8598
957	191533	8397
958	191711	8196
959	191897	7995
960	192062	7794
961	192214	7592
962	192389	7391
963	192594	7192
964	192781	6992
965	192950	6791
966	193152	6591
967	193359	6392
968	193579	6192
969	193841	5995
970	194040	5795
971	194215	5594
972	194390	5394
973	194594	5194
974	194787	4994
975	194959	4794
976	195155	4594
977	195335	4394
978	195528	4194
979	195719	3994
980	195913	3794
981	196108	3594
982	196305	3394
983	196571	3196
984	196767	2996
985	196955	2796
986	197125	2596
987	197297	2396
988	197485	2196
989	197662	1996
990	197840	1796
991	198018	1596
992	198227	1397
993	198421	1197
994	198588	997
995	198753	798
996	198953	598
997	199162	399
998	199362	199
999	199538	0
