iter	RMSE
0	0.1078245929
1	0.1048611121
2	0.102136465
3	0.09935407948
4	0.09693207559
5	0.09435898379
6	0.09207404832
7	0.08975264902
8	0.08763851062
9	0.0854846344
10	0.08350404201
11	0.08152528978
12	0.07960524476
13	0.07770818195
14	0.07620732069
15	0.07439648784
16	0.07280466302
17	0.07113093512
18	0.06971647804
19	0.06823154853
20	0.06668649566
21	0.06528224538
22	0.06408467981
23	0.0628694386
24	0.06156351163
25	0.0604425105
26	0.05921530052
27	0.0581743238
28	0.05715700565
29	0.05616097875
30	0.05526952976
31	0.0543395757
32	0.05334834086
33	0.05246565724
34	0.05166057554
35	0.05081204319
36	0.04991446543
37	0.04920048669
38	0.04844842527
39	0.0476887333
40	0.04698324276
41	0.04635307151
42	0.04569412604
43	0.04513918677
44	0.04458961615
45	0.04404952595
46	0.04352442582
47	0.04302631705
48	0.04245950902
49	0.04191209616
50	0.04146384498
51	0.04090520557
52	0.0404287535
53	0.04001879062
54	0.03959149032
55	0.03914120658
56	0.03874054627
57	0.03834707776
58	0.03797748671
59	0.03760131232
60	0.03720281647
61	0.03693562064
62	0.03661306527
63	0.03629080452
64	0.03590976431
65	0.035572682
66	0.03531658267
67	0.03507018242
68	0.03469228714
69	0.03441319686
70	0.03410191614
71	0.03382599034
72	0.03354990357
73	0.03329282289
74	0.03304120452
75	0.03284217532
76	0.0325622794
77	0.03230090254
78	0.03211765703
79	0.03186779097
80	0.03166612957
81	0.03148361096
82	0.03131152444
83	0.03109313656
84	0.03095449869
85	0.03073036824
86	0.03062206802
87	0.03045149986
88	0.03025684416
89	0.03008677991
90	0.02988805169
91	0.02974082872
92	0.02963538805
93	0.02951523067
94	0.02940410524
95	0.02931987411
96	0.02916587714
97	0.02900780492
98	0.02885356683
99	0.02878359843
100	0.02864423502
101	0.0285303255
102	0.02848464729
103	0.02837060449
104	0.02825054099
105	0.02811279242
106	0.02800063379
107	0.02790156998
108	0.0278095929
109	0.02770858411
110	0.02759038712
111	0.02748819657
112	0.02740272756
113	0.02729924463
114	0.02722819913
115	0.02718253097
116	0.02709781896
117	0.02704955912
118	0.02699529602
119	0.02691714908
120	0.02682542946
121	0.02672963614
122	0.02665022725
123	0.02657614018
124	0.02649278825
125	0.02640322164
126	0.02632207415
127	0.02626709226
128	0.02620542251
129	0.02612701346
130	0.02605871242
131	0.02597024253
132	0.0258626816
133	0.02576816916
134	0.02572494923
135	0.0257012899
136	0.02562178492
137	0.02555380169
138	0.0254732418
139	0.02540310511
140	0.02531154571
141	0.02525502418
142	0.02518560531
143	0.02510628096
144	0.02504194858
145	0.02497278047
146	0.02492106404
147	0.02485116834
148	0.02478459581
149	0.02473711862
150	0.02467693086
151	0.02460910589
152	0.02456192643
153	0.02450762358
154	0.02446078948
155	0.02437459722
156	0.02433366494
157	0.02428777422
158	0.02422854087
159	0.02416981435
160	0.02408136253
161	0.02399735531
162	0.02396092643
163	0.02388802914
164	0.02383880815
165	0.02380779956
166	0.02375154008
167	0.02368763609
168	0.02363955018
169	0.02357594761
170	0.02351794067
171	0.02346664601
172	0.02340889354
173	0.02334768824
174	0.02327767355
175	0.02322214148
176	0.02316901627
177	0.0231181213
178	0.02303291215
179	0.02300977411
180	0.02296437913
181	0.02289088095
182	0.02281697686
183	0.0227976481
184	0.02275488509
185	0.0227045143
186	0.02267437307
187	0.02262160762
188	0.02256327592
189	0.02252202357
190	0.02245364119
191	0.0223993241
192	0.02233695354
193	0.02227265344
194	0.02221956564
195	0.02219834325
196	0.02217842877
197	0.02211161976
198	0.0220631795
199	0.02202815227
200	0.0219944487
201	0.02196713048
202	0.02193690035
203	0.02191374216
204	0.02185774895
205	0.02178891522
206	0.02172488458
207	0.02168494872
208	0.02165066902
209	0.02158634345
210	0.02153423114
211	0.02151344883
212	0.02146355035
213	0.02144762135
214	0.02139451102
215	0.0213352961
216	0.02127781954
217	0.02120045752
218	0.02115580648
219	0.02108507574
220	0.02101391285
221	0.0209785863
222	0.02093874597
223	0.02089035169
224	0.02085321671
225	0.02079592169
226	0.02075627448
227	0.02070004809
228	0.02063921157
229	0.02060886151
230	0.02055232062
231	0.02049388002
232	0.02047044586
233	0.02040341134
234	0.0203442224
235	0.02031267318
236	0.0202706746
237	0.02021037156
238	0.02019471144
239	0.02016756869
240	0.02012327408
241	0.02007145617
242	0.02002439863
